,Swiss Bond AAA-BBB (Total Return Index),"Bloomberg Global Aggregate Bond Index (Total Return Index, CHF hedged.)",Switzerland Government Bond - 10 Year Yield
17/2/2006,#N/A,#N/A,2.18
21/2/2006,#N/A,#N/A,2.19
22/2/2006,#N/A,#N/A,2.17
23/2/2006,#N/A,#N/A,2.21
24/2/2006,#N/A,#N/A,2.23
27/2/2006,#N/A,#N/A,2.24
28/2/2006,#N/A,#N/A,2.23
1/3/2006,#N/A,#N/A,2.25
2/3/2006,#N/A,#N/A,2.31
3/3/2006,#N/A,#N/A,2.29
6/3/2006,#N/A,#N/A,2.29
7/3/2006,#N/A,#N/A,2.29
8/3/2006,#N/A,#N/A,2.31
9/3/2006,#N/A,#N/A,2.36
10/3/2006,#N/A,#N/A,2.39
13/3/2006,#N/A,#N/A,2.41
14/3/2006,#N/A,#N/A,2.37
15/3/2006,#N/A,#N/A,2.39
16/3/2006,#N/A,#N/A,2.35
17/3/2006,#N/A,#N/A,2.39
20/3/2006,#N/A,#N/A,2.37
21/3/2006,#N/A,#N/A,2.37
22/3/2006,#N/A,#N/A,2.36
23/3/2006,#N/A,#N/A,2.40
24/3/2006,#N/A,#N/A,2.41
27/3/2006,#N/A,#N/A,2.41
28/3/2006,#N/A,#N/A,2.46
29/3/2006,#N/A,#N/A,2.49
30/3/2006,#N/A,#N/A,2.50
31/3/2006,#N/A,#N/A,2.49
3/4/2006,#N/A,#N/A,2.54
4/4/2006,#N/A,#N/A,2.54
5/4/2006,#N/A,#N/A,2.56
6/4/2006,#N/A,#N/A,2.57
7/4/2006,#N/A,#N/A,2.56
10/4/2006,#N/A,#N/A,2.55
11/4/2006,#N/A,#N/A,2.53
12/4/2006,#N/A,#N/A,2.54
13/4/2006,#N/A,#N/A,2.62
17/4/2006,#N/A,#N/A,2.62
18/4/2006,#N/A,#N/A,2.62
19/4/2006,#N/A,#N/A,2.63
20/4/2006,#N/A,#N/A,2.63
21/4/2006,#N/A,#N/A,2.65
24/4/2006,#N/A,#N/A,2.67
25/4/2006,#N/A,#N/A,2.71
26/4/2006,#N/A,#N/A,2.73
27/4/2006,#N/A,#N/A,2.72
28/4/2006,#N/A,#N/A,2.71
