Company,"Goldman Sachs Group, Inc.",Caterpillar Inc.,Microsoft Corporation,"Home Depot, Inc.",Sherwin-Williams Company,Amgen Inc.,American Express Company,McDonald's Corporation,Visa Inc. Class A,JPMorgan Chase & Co.,"Travelers Companies, Inc.",UnitedHealth Group Incorporated,International Business Machines Corporation,Apple Inc.,Johnson & Johnson,Boeing Company,Honeywell International Inc.,"Amazon.com, Inc.","Salesforce, Inc.",Chevron Corporation,NVIDIA Corporation,3M Company,Procter & Gamble Company,Walmart Inc.,"Merck & Co., Inc.",Walt Disney Company,Coca-Cola Company,"Cisco Systems, Inc.","NIKE, Inc. Class B",Verizon Communications Inc.
Ticker,GS-US,CAT-US,MSFT-US,HD-US,SHW-US,AMGN-US,AXP-US,MCD-US,V-US,JPM-US,TRV-US,UNH-US,IBM-US,AAPL-US,JNJ-US,BA-US,HON-US,AMZN-US,CRM-US,CVX-US,NVDA-US,MMM-US,PG-US,WMT-US,MRK-US,DIS-US,KO-US,CSCO-US,NKE-US,VZ-US
17/2/2006,145.54,72.05,26.70,41.86,17.56,74.89,54.45,36.06,#N/A,40.78,43.03,58.00,77.09,2.51,59.07,72.96,37.83,1.96,8.59,57.17,0.40,61.68,61.00,15.37,34.37,26.55,20.90,19.86,10.61,31.17
21/2/2006,143.45,72.59,26.54,41.87,17.52,74.53,53.86,35.66,#N/A,40.70,42.77,58.17,76.89,2.47,59.14,73.05,37.15,1.91,8.40,57.90,0.39,61.20,60.88,15.25,33.94,26.80,20.93,19.58,10.64,30.79
22/2/2006,145.53,73.06,26.72,41.88,14.40,75.08,54.84,35.95,#N/A,41.41,43.05,59.54,77.70,2.55,59.03,74.39,37.70,1.94,8.60,57.24,0.39,61.02,61.94,15.16,34.25,27.09,21.04,19.67,10.74,30.47
23/2/2006,143.96,72.35,26.66,41.58,14.02,74.69,54.57,35.59,#N/A,41.11,42.50,59.45,76.60,2.56,58.59,73.90,37.16,1.90,8.50,57.14,0.38,61.58,61.48,15.23,33.76,27.34,21.02,19.72,10.82,30.40
24/2/2006,144.16,72.70,26.63,41.63,13.76,74.75,54.87,35.34,#N/A,41.66,42.55,58.89,76.51,2.55,57.76,74.31,37.21,1.92,8.45,57.65,0.38,61.79,61.50,15.15,33.47,27.61,21.12,19.85,10.90,30.30
27/2/2006,143.82,73.50,27.05,42.45,14.20,75.48,54.74,35.25,#N/A,41.58,43.06,58.94,77.01,2.54,57.91,74.13,37.29,1.90,8.52,57.10,0.40,61.61,61.35,15.25,33.72,28.00,21.27,19.97,10.91,30.53
28/2/2006,141.29,73.08,26.87,42.15,15.18,75.48,53.88,34.91,#N/A,41.14,42.98,58.23,76.64,2.45,57.65,72.69,36.73,1.87,8.71,56.48,0.39,61.53,59.93,15.12,33.24,27.62,20.99,20.24,10.85,30.21
1/3/2006,143.15,74.39,27.14,42.59,15.17,76.05,54.12,34.93,#N/A,41.63,42.81,58.43,76.32,2.47,57.66,72.95,37.02,1.86,9.20,57.24,0.41,61.59,60.11,15.05,33.34,27.72,21.16,21.06,10.79,30.65
2/3/2006,144.00,74.34,26.97,42.29,15.02,76.47,53.78,34.94,#N/A,41.66,42.59,57.58,76.36,2.49,57.69,72.80,37.21,1.84,9.18,57.01,0.41,61.08,59.55,15.02,33.49,27.66,20.96,20.88,10.76,30.48
3/3/2006,146.00,74.61,26.93,42.20,14.81,75.39,53.75,34.85,#N/A,41.59,42.87,56.60,76.37,2.42,57.47,73.39,37.42,1.86,9.51,56.97,0.41,60.93,59.67,15.11,33.55,27.84,20.90,21.04,10.79,30.10
6/3/2006,145.02,73.22,26.91,41.80,14.58,73.55,53.75,34.67,#N/A,41.43,42.46,56.70,76.41,2.34,57.85,72.63,36.65,1.84,9.09,55.85,0.41,60.16,59.67,15.04,33.34,27.51,20.98,21.05,10.87,30.23
7/3/2006,144.28,73.04,27.06,41.37,14.52,73.79,53.59,34.64,#N/A,41.48,42.63,56.42,76.69,2.37,58.22,73.16,37.12,1.85,9.32,55.32,0.40,60.42,60.30,15.09,33.28,27.64,20.90,20.87,10.61,30.04
8/3/2006,142.49,72.40,27.25,41.16,14.52,74.20,53.84,34.68,#N/A,41.60,42.54,57.20,77.50,2.34,58.74,72.82,37.22,1.84,9.46,55.12,0.40,60.52,61.07,15.09,33.07,27.68,21.12,20.86,10.63,29.97
9/3/2006,141.70,71.40,27.00,40.64,14.74,73.58,53.20,34.53,#N/A,41.05,42.13,56.34,77.39,2.28,58.31,73.76,37.02,1.81,9.38,54.45,0.40,60.03,61.40,15.08,32.91,27.72,21.20,20.44,10.67,30.10
10/3/2006,141.53,70.95,27.17,41.25,14.92,73.49,54.23,34.65,#N/A,41.13,42.32,56.17,77.91,2.26,59.04,74.79,37.80,1.81,9.46,54.08,0.39,60.46,62.25,15.11,33.14,27.79,21.39,20.82,10.62,30.65
13/3/2006,140.72,71.00,27.11,41.25,14.96,73.59,53.84,34.32,#N/A,41.06,42.66,55.73,78.26,2.35,59.08,74.84,37.38,1.81,9.72,55.18,0.40,60.27,61.98,15.09,33.56,28.18,21.25,20.86,10.56,30.76
14/3/2006,149.42,71.94,27.23,42.14,15.18,75.01,53.96,34.26,#N/A,41.38,42.80,56.89,79.16,2.40,59.29,75.45,37.99,1.85,9.95,56.35,0.41,61.48,60.01,15.18,33.47,28.28,21.40,21.25,10.58,30.82
15/3/2006,149.00,74.29,27.36,42.26,15.48,74.89,54.02,34.77,#N/A,41.22,42.93,57.34,79.64,2.37,59.80,76.05,38.43,1.84,9.74,56.50,0.42,61.87,59.90,15.11,33.53,28.37,21.37,21.44,10.63,30.82
16/3/2006,147.69,74.90,27.27,42.75,15.88,73.84,54.12,35.06,#N/A,41.32,42.96,56.57,79.15,2.30,60.02,76.73,38.20,1.84,9.74,57.74,0.40,62.61,59.39,15.45,33.64,28.30,21.35,21.25,10.75,30.94
17/3/2006,150.36,76.23,27.50,42.90,16.09,73.25,54.65,35.10,#N/A,41.40,41.55,56.69,79.57,2.31,60.34,77.85,38.35,1.80,9.79,57.18,0.41,62.53,59.10,15.56,33.98,28.26,21.40,21.62,10.68,30.84
20/3/2006,152.18,75.85,27.89,42.85,16.38,72.85,54.12,34.73,#N/A,41.45,41.90,56.53,79.83,2.29,60.48,78.18,38.18,1.81,9.67,56.75,0.40,62.71,59.18,15.92,34.00,28.26,21.45,21.68,10.69,30.67
21/3/2006,149.40,74.31,27.74,43.00,16.31,71.97,53.59,34.90,#N/A,41.20,41.47,56.21,80.05,2.21,60.57,78.26,37.91,1.80,9.40,56.57,0.42,62.65,59.03,16.04,34.22,27.73,21.38,21.41,10.62,30.79
22/3/2006,151.82,76.21,27.15,43.37,16.58,72.43,53.55,34.80,#N/A,42.05,41.58,56.64,80.66,2.20,61.00,78.61,38.26,1.80,9.26,56.49,0.41,63.60,59.49,16.03,34.55,27.42,21.39,21.42,10.85,31.20
23/3/2006,151.67,76.26,26.85,43.81,16.73,72.80,53.10,34.54,#N/A,42.04,41.36,56.37,79.47,2.15,60.81,77.90,38.14,1.78,9.38,56.63,0.42,64.19,58.65,16.18,34.52,27.15,21.21,21.41,10.75,31.12
24/3/2006,152.17,75.50,27.01,43.12,16.81,73.18,53.18,34.70,#N/A,42.10,41.46,55.78,79.62,2.14,60.39,78.73,38.08,1.77,9.40,57.57,0.43,64.21,58.74,16.06,34.37,27.09,21.33,21.36,10.75,31.34
27/3/2006,155.00,75.38,27.01,42.99,16.90,73.10,53.36,34.55,#N/A,42.11,41.24,54.93,79.36,2.13,59.94,78.39,37.67,1.76,9.57,58.21,0.44,64.24,58.29,15.98,34.35,26.98,21.20,21.69,10.68,31.31
28/3/2006,154.16,74.87,26.90,42.99,16.38,72.61,52.57,34.31,#N/A,41.56,40.75,54.32,78.73,2.10,59.60,77.51,37.59,1.78,9.23,57.86,0.45,63.79,57.53,15.92,33.99,26.73,21.08,21.33,10.65,30.97
29/3/2006,156.90,73.67,27.02,42.91,16.86,72.02,52.50,34.60,#N/A,41.68,41.96,55.98,79.40,2.23,59.51,79.18,37.91,1.82,9.17,58.63,0.48,64.85,57.74,16.02,34.14,27.49,21.08,21.57,10.69,31.39
30/3/2006,156.81,72.40,27.23,42.38,16.54,72.62,52.13,34.55,#N/A,41.53,42.18,56.26,79.47,2.24,59.35,78.42,37.98,1.83,9.21,58.51,0.48,63.98,57.63,15.89,33.96,27.50,21.06,21.97,10.63,30.91
31/3/2006,156.96,71.81,27.21,42.30,16.48,72.75,52.55,34.36,#N/A,41.64,41.79,55.86,78.77,2.24,59.22,77.93,38.36,1.83,9.08,57.97,0.48,63.28,57.63,15.75,33.59,27.52,20.94,21.67,10.64,30.53
3/4/2006,158.12,73.50,27.56,42.38,16.58,71.88,52.43,34.73,#N/A,41.93,42.13,55.47,79.34,2.24,59.17,78.01,38.02,1.81,9.27,58.34,0.48,63.41,57.88,15.59,33.76,27.57,20.94,21.59,10.61,30.85
4/4/2006,161.00,75.30,27.64,42.55,16.68,72.02,53.23,34.66,#N/A,42.27,42.35,55.30,79.71,2.18,58.82,78.60,38.67,1.84,8.98,58.91,0.51,64.38,58.00,15.50,33.83,27.54,21.04,21.56,10.63,31.01
5/4/2006,160.75,75.80,27.74,42.65,17.31,72.86,52.90,34.81,#N/A,42.54,42.26,55.30,80.40,2.40,58.40,79.11,38.56,1.87,9.30,59.50,0.51,64.76,57.62,15.62,34.32,27.42,20.98,21.69,10.57,30.87
6/4/2006,162.04,75.65,27.56,42.14,17.17,71.85,52.27,34.60,#N/A,42.29,42.14,54.51,80.05,2.54,58.50,79.82,38.43,1.93,9.05,59.41,0.51,68.04,57.50,15.52,33.22,27.31,20.85,21.18,10.61,30.19
7/4/2006,161.02,74.92,27.25,42.10,16.88,71.03,51.70,34.88,#N/A,41.70,41.29,53.69,78.78,2.49,57.83,79.57,38.03,1.85,8.63,58.65,0.51,67.75,57.28,15.34,32.87,27.16,20.68,20.81,10.45,30.29
10/4/2006,162.46,75.45,27.29,41.80,16.99,70.74,51.85,35.35,#N/A,41.88,41.40,52.43,78.42,2.45,57.71,80.79,38.24,1.83,8.70,59.72,0.50,67.71,57.15,15.23,32.82,27.42,20.74,20.99,10.39,30.01
11/4/2006,159.15,76.66,27.13,41.43,16.70,70.24,51.25,35.55,#N/A,41.61,41.10,51.55,77.52,2.43,57.75,80.57,37.57,1.80,8.32,59.46,0.49,67.55,56.49,15.17,32.48,27.40,20.65,21.03,10.31,29.35
12/4/2006,159.52,77.84,27.20,40.99,16.92,69.97,51.19,35.19,#N/A,41.90,41.25,53.46,77.13,2.38,57.87,83.21,38.08,1.81,8.31,58.67,0.51,67.81,56.42,15.30,32.28,27.55,20.58,21.02,10.32,29.60
