,SMI (Price Return),EuroStoxx 50  (Price Return),Dow Jones Industrial Average Index  (Price Return), Nikkei 225 (Price Return) , DAX (Total Return) 
17/2/2006,"  7,917.1 ","  3,767.7 ","  11,115.0 ","  15,713.5 ","  5,795.5 "
20/2/2006,"  7,917.1 ","  3,766.7 ","  11,115.0 ","  15,437.9 ","  5,794.0 "
21/2/2006,"  8,002.6 ","  3,779.5 ","  11,069.0 ","  15,894.9 ","  5,801.0 "
22/2/2006,"  8,040.5 ","  3,818.5 ","  11,137.0 ","  15,781.8 ","  5,862.1 "
23/2/2006,"  7,983.8 ","  3,813.3 ","  11,069.0 ","  16,096.1 ","  5,857.9 "
24/2/2006,"  7,954.3 ","  3,826.0 ","  11,062.0 ","  16,101.9 ","  5,870.8 "
27/2/2006,"  7,995.1 ","  3,840.6 ","  11,098.0 ","  16,193.0 ","  5,915.2 "
28/2/2006,"  7,892.6 ","  3,774.5 ","  10,993.0 ","  16,205.4 ","  5,796.0 "
1/3/2006,"  7,980.4 ","  3,806.0 ","  11,054.0 ","  15,964.5 ","  5,866.6 "
2/3/2006,"  7,926.2 ","  3,763.7 ","  11,026.0 ","  15,909.8 ","  5,783.5 "
3/3/2006,"  7,916.0 ","  3,734.0 ","  11,022.0 ","  15,663.3 ","  5,721.5 "
6/3/2006,"  7,917.2 ","  3,754.1 ","  10,959.0 ","  15,901.2 ","  5,754.1 "
7/3/2006,"  7,864.3 ","  3,745.2 ","  10,981.0 ","  15,726.0 ","  5,739.3 "
8/3/2006,"  7,831.5 ","  3,728.0 ","  11,006.0 ","  15,627.5 ","  5,673.4 "
9/3/2006,"  7,860.7 ","  3,757.7 ","  10,972.0 ","  16,036.9 ","  5,732.2 "
10/3/2006,"  7,970.6 ","  3,798.5 ","  11,076.0 ","  16,115.6 ","  5,804.9 "
13/3/2006,"  8,035.4 ","  3,825.0 ","  11,076.0 ","  16,361.5 ","  5,855.2 "
14/3/2006,"  8,034.2 ","  3,833.5 ","  11,151.0 ","  16,238.4 ","  5,870.9 "
15/3/2006,"  8,012.6 ","  3,842.2 ","  11,210.0 ","  16,319.0 ","  5,898.5 "
16/3/2006,"  8,018.0 ","  3,839.7 ","  11,253.0 ","  16,096.2 ","  5,897.8 "
17/3/2006,"  8,047.1 ","  3,832.4 ","  11,280.0 ","  16,339.7 ","  5,882.4 "
20/3/2006,"  8,059.4 ","  3,842.1 ","  11,275.0 ","  16,624.8 ","  5,902.8 "
21/3/2006,"  8,056.6 ","  3,848.2 ","  11,235.0 ","  16,624.8 ","  5,911.9 "
22/3/2006,"  8,064.0 ","  3,868.5 ","  11,317.0 ","  16,495.5 ","  5,932.3 "
23/3/2006,"  8,024.1 ","  3,860.1 ","  11,270.0 ","  16,489.4 ","  5,947.1 "
24/3/2006,"  8,045.1 ","  3,870.9 ","  11,280.0 ","  16,560.9 ","  5,973.1 "
27/3/2006,"  7,980.9 ","  3,827.9 ","  11,250.0 ","  16,650.1 ","  5,912.3 "
28/3/2006,"  7,972.9 ","  3,811.2 ","  11,155.0 ","  16,690.2 ","  5,890.6 "
29/3/2006,"  7,983.4 ","  3,826.3 ","  11,216.0 ","  16,938.4 ","  5,914.8 "
