,USDCHF,EURCHF
17/2/2006,1.31,1.56
20/2/2006,1.31,1.56
21/2/2006,1.31,1.56
22/2/2006,1.31,1.56
23/2/2006,1.31,1.56
24/2/2006,1.32,1.56
27/2/2006,1.32,1.57
28/2/2006,1.31,1.56
1/3/2006,1.31,1.56
2/3/2006,1.31,1.57
3/3/2006,1.30,1.56
6/3/2006,1.30,1.56
7/3/2006,1.31,1.56
8/3/2006,1.31,1.56
9/3/2006,1.31,1.57
10/3/2006,1.32,1.57
13/3/2006,1.32,1.57
14/3/2006,1.30,1.57
15/3/2006,1.30,1.57
16/3/2006,1.29,1.57
17/3/2006,1.29,1.57
20/3/2006,1.29,1.57
21/3/2006,1.30,1.57
22/3/2006,1.30,1.57
23/3/2006,1.32,1.58
24/3/2006,1.31,1.58
27/3/2006,1.31,1.57
28/3/2006,1.30,1.57
29/3/2006,1.31,1.57
30/3/2006,1.30,1.58
31/3/2006,1.31,1.58
3/4/2006,1.31,1.58
4/4/2006,1.29,1.58
5/4/2006,1.29,1.58
6/4/2006,1.29,1.58
7/4/2006,1.30,1.58
10/4/2006,1.30,1.58
11/4/2006,1.30,1.58
12/4/2006,1.30,1.57
13/4/2006,1.30,1.57
14/4/2006,1.30,1.57
17/4/2006,1.28,1.57
18/4/2006,1.27,1.57
19/4/2006,1.27,1.57
20/4/2006,1.28,1.57
21/4/2006,1.28,1.57
24/4/2006,1.27,1.57
25/4/2006,1.27,1.57
26/4/2006,1.27,1.58
27/4/2006,1.26,1.58
28/4/2006,1.24,1.57
1/5/2006,1.24,1.56
2/5/2006,1.24,1.56
3/5/2006,1.24,1.56
4/5/2006,1.23,1.56
5/5/2006,1.22,1.56
8/5/2006,1.23,1.56
9/5/2006,1.22,1.56
10/5/2006,1.22,1.56
11/5/2006,1.21,1.56
12/5/2006,1.20,1.55
15/5/2006,1.21,1.55
16/5/2006,1.21,1.55
17/5/2006,1.21,1.55
18/5/2006,1.21,1.55
19/5/2006,1.22,1.55
22/5/2006,1.21,1.55
23/5/2006,1.21,1.55
24/5/2006,1.22,1.55
25/5/2006,1.22,1.56
26/5/2006,1.23,1.56
29/5/2006,1.22,1.56
30/5/2006,1.21,1.56
31/5/2006,1.22,1.56
1/6/2006,1.22,1.56
2/6/2006,1.21,1.56
5/6/2006,1.20,1.56
6/6/2006,1.22,1.56
7/6/2006,1.22,1.56
8/6/2006,1.23,1.56
9/6/2006,1.23,1.56
12/6/2006,1.23,1.55
13/6/2006,1.24,1.55
14/6/2006,1.23,1.55
15/6/2006,1.23,1.55
16/6/2006,1.23,1.56
19/6/2006,1.24,1.56
20/6/2006,1.24,1.56
21/6/2006,1.24,1.56
22/6/2006,1.24,1.56
23/6/2006,1.25,1.56
26/6/2006,1.25,1.56
27/6/2006,1.24,1.57
28/6/2006,1.25,1.56
29/6/2006,1.25,1.57
30/6/2006,1.23,1.57
3/7/2006,1.22,1.57
4/7/2006,1.23,1.57
5/7/2006,1.23,1.57
