Company,Logitech International S.A.,Amrize Ltd,Alcon AG,UBS Group AG,Swiss Re AG,Compagnie Financiere Richemont SA,Swiss Life Holding AG,Partners Group Holding AG,Lonza Group AG,Kuehne & Nagel International AG,Sika AG,Nestle S.A.,Holcim Ltd,Roche Holding Ltd Dividend Right Cert.,ABB Ltd.,Novartis AG,Zurich Insurance Group Ltd,Givaudan SA,Geberit AG,Swisscom AG
Ticker,LOGN-CH,AMRZ-CH,ALC-CH,UBSG-CH,SREN-CH,CFR-CH,SLHN-CH,PGHN-CH,LONN-CH,KNIN-CH,SIKA-CH,NESN-CH,HOLN-CH,ROG-CH,ABBN-CH,NOVN-CH,ZURN-CH,GIVN-CH,GEBN-CH,SCMN-CH
17/2/2006,25.17,#N/A,#N/A,62.34,65.11,30.14,213.48,#N/A,76.19,75.10,20.25,39.00,40.28,190.80,14.28,59.86,309.98,904.44,118.90,401.50
20/2/2006,25.67,#N/A,#N/A,63.276478,64.83796,30.036802,213.4761,#N/A,76.0021,74.6,20.333738,39,40.530415,192.1,14.331978,59.90551,316.4201,903.96106,119.9,399.5
21/2/2006,25.53,#N/A,#N/A,63.58775,65.31273,29.85381,211.66844,#N/A,76.46524,76,20.317072,39.8,40.901497,193.4,14.525001,59.69605,313.69446,902.0419,119.200005,398.25
22/2/2006,25.21,#N/A,#N/A,64.07689,65.17707,30.167511,212.61533,#N/A,76.789444,78.950005,20.417074,39.95,41.891052,194.9,14.862791,59.528484,317.16345,902.0419,119.700005,397
23/2/2006,25.21,#N/A,#N/A,63.76561,64.53277,30.376642,214.16475,#N/A,76.55787,78.6,21.05042,38.65,42.468292,194.8,15.007559,59.612267,312.9511,902.0419,118.8,395.5
24/2/2006,25.21,#N/A,#N/A,63.632217,64.159744,30.32436,214.3369,#N/A,78.2715,78.700005,21.317091,38.125,42.75691,193,15.248838,59.779835,311.96,906.3601,118.8,396.75
27/2/2006,25.30,#N/A,#N/A,63.276478,64.058014,30.350502,216.05849,#N/A,79.475685,79,21.200422,38.4,43.045532,194,15.924419,60.324432,314.19003,898.20337,118.1,395.5
28/2/2006,24.30,#N/A,#N/A,61.942467,63.37979,29.879953,209.51645,#N/A,78.8736,79.200005,21.50043,38.575,42.633217,193.9,15.152326,59.151455,307.2521,901.562,119.1,394.25
1/3/2006,24.73,#N/A,#N/A,63.009678,63.684986,30.036802,212.61533,#N/A,79.19779,78.85,21.667099,38.5,43.540306,196.7,15.538373,59.947407,310.47327,903.00146,120.6,395.5
2/3/2006,25.33,#N/A,#N/A,62.52054,60.9721,31.004044,209.94687,#N/A,79.660934,79.4,21.183756,38.125,42.798145,195.5,15.393605,59.737946,304.2787,917.87555,119.8,394.5
3/3/2006,25.24,#N/A,#N/A,62.609474,60.9721,31.291603,207.88097,#N/A,79.151474,80.6,21.067087,38,42.344597,196.9,15.345349,59.067673,304.2787,911.63806,120.4,399.25
6/3/2006,25.21,#N/A,#N/A,62.609474,61.44686,31.134752,212.35707,#N/A,79.10516,80.6,21.133755,37.925,42.715675,196.5,15.393605,58.81632,303.03976,916.43616,126.4,411
7/3/2006,24.80,#N/A,#N/A,61.80907,61.379036,30.664202,209.60254,#N/A,79.42937,80,20.183737,37.8,41.72612,195.9,15.007559,59.109566,298.08408,925.5525,124.4,410.25
8/3/2006,24.53,#N/A,#N/A,60.919727,60.80255,29.906094,205.6429,#N/A,80.21671,78.8,20.83375,37.825,41.76736,198.7,14.5732565,59.779835,292.8806,921.23425,120.700005,411
9/3/2006,24.43,#N/A,#N/A,60.74186,61.209484,30.141369,207.7088,#N/A,80.40197,79.4,21.33376,38.350002,42.262135,199,14.76628,59.90551,294.86288,931.79004,120.5,413
10/3/2006,24.62,#N/A,#N/A,62.164806,61.582497,30.847195,208.65567,#N/A,80.8188,80,21.283758,39.075,42.509518,200.5,14.959303,60.743347,297.09296,934.6689,122.200005,418.25
13/3/2006,24.57,#N/A,#N/A,62.698406,61.95553,30.716486,212.78748,#N/A,81.05037,79.200005,22.167109,39.25,42.715675,200.9,15.441861,61.539295,300.80972,933.7093,124.700005,417.5
14/3/2006,24.11,#N/A,#N/A,63.054146,61.887707,30.899477,221.22322,#N/A,81.05037,79,21.917105,39.05,42.798145,199,15.586628,60.910915,304.77426,942.8257,123.700005,421
15/3/2006,24.27,#N/A,#N/A,62.965214,61.65033,30.794912,221.86882,#N/A,81.97666,78.05,22.567118,38.7,42.67445,200,15.345349,60.65957,301.0575,944.7449,124.8,420
16/3/2006,23.65,#N/A,#N/A,63.143074,61.65033,31.08247,222.94481,#N/A,81.42089,77.200005,22.083775,38.825,42.468292,199.7,15.393605,60.491997,299.07523,945.2247,122.8,418.25
17/3/2006,23.33,#N/A,#N/A,62.78734,61.752064,31.657587,231.33752,#N/A,81.51352,79,22.250444,38.75,42.591984,198.8,15.393605,61.287952,313.94226,942.8257,125.5,420.75
20/3/2006,23.59,#N/A,#N/A,63.676674,62.32855,32.232704,231.9831,#N/A,81.74509,77.200005,22.333778,38.475002,42.921833,200,15.297094,60.743347,312.9511,945.2247,126.1,418.5
21/3/2006,23.61,#N/A,#N/A,63.676674,62.1929,32.415695,229.40074,#N/A,81.42089,76.8,22.500448,38.575,42.921833,200.5,15.248838,60.743347,310.47327,950.9824,125,419.5
22/3/2006,24.16,#N/A,#N/A,63.58775,61.81988,32.07585,230.90714,#N/A,82.02298,77.4,22.417114,38.625,43.0043,200.3,15.152326,61.45551,312.70334,952.4218,123.3,426.5
23/3/2006,24.02,#N/A,#N/A,63.85455,61.65033,31.788294,233.48949,#N/A,82.300865,79,22.333778,38.525,43.210457,196.7,15.10407,61.162266,309.97772,951.942,123,425
24/3/2006,24.41,#N/A,#N/A,63.94348,61.311222,32.363415,234.3503,84,82.11561,80.4,22.533783,38.7,43.540306,196.7,15.248838,61.287952,310.47327,957.69977,126.9,429.25
27/3/2006,23.91,#N/A,#N/A,63.320942,61.78597,32.02357,238.43901,84,82.02298,80.6,22.400446,38.275,43.045532,195.1,15.10407,60.617672,309.48215,960.5786,124,426.25
28/3/2006,23.81,#N/A,#N/A,63.009678,61.345123,32.28499,228.97035,81,81.4672,81.8,23.083794,38.2,43.086754,193.9,15.345349,60.869026,305.76538,964.41705,123.200005,423.25
29/3/2006,23.45,#N/A,#N/A,62.83181,61.44686,32.80782,234.13509,80,81.4672,81.700005,22.60045,38.175,42.963066,194.5,15.586628,60.65957,306.26096,962.49786,123.8,424
30/3/2006,23.84,#N/A,#N/A,63.320942,62.260727,33.0431,236.71747,78,82.7177,82.200005,22.500448,38.5,42.880608,195.7,15.924419,60.9947,303.28754,961.5382,123.3,425.5
